labelset,cell_label,cell_fullname,n_cells,source,source_label,cell_count,partitioned,source_label_total,purity,coverage
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_OvarySanger2026,Endo_Art_LY6H+_angiogenic,6,303,588,0.0198,0.0102
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_OvarySanger2026,Endo_Cap_VCAN+_activated,2,303,175,0.0066,0.0114
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2022,blood vessel endothelial cell,2342,2346,3418,0.9983,0.6852
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2022,endothelial cell of lymphatic vessel,4,2346,2093,0.0017,0.0019
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,tPCV,2826,5570,3680,0.5074,0.7679
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,Capillary,1227,5570,1656,0.2203,0.7409
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,PCV,722,5570,3751,0.1296,0.1925
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,aPCV,577,5570,2402,0.1036,0.2402
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,EndoMT,73,5570,125,0.0131,0.584
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,Artery,64,5570,1128,0.0115,0.0567
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,HEV,45,5570,616,0.0081,0.0731
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,Tip,21,5570,290,0.0038,0.0724
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,Tissue-resident-vascular-progenitor,6,5570,203,0.0011,0.0296
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,Gland-sec-progenitor-A,3,5570,4403,0.0005,0.0007
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,HMGB2-Prolif,3,5570,1402,0.0005,0.0021
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,MUC16+_Gland_sec,2,5570,1447,0.0004,0.0014
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Ulrich2024,dS2,1,5570,23111,0.0002,0.0
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Weigert2025,endothelial cell,1196,1198,4780,0.9983,0.2502
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Weigert2025,endothelial cell of lymphatic vessel,1,1198,2789,0.0008,0.0004
L4,Endo_ven_tpcv,Transitional post-capillary venous endothelial,16892,celltype_Weigert2025,fallopian tube secretory epithelial cell,1,1198,3364,0.0008,0.0003
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_GarciaAlonso2021,Endothelial ACKR1,265,265,5413,1.0,0.049
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_GarciaAlonso2022,Endothelial,263,263,6280,1.0,0.0419
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_HECA,Venous,570,577,6662,0.9879,0.0856
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_HECA,Arterial,7,577,815,0.0121,0.0086
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Lorenzi2025,Endothelial,2174,2174,7907,1.0,0.2749
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_OvarySanger2026,Endo_Cap,353,365,7359,0.9671,0.048
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_OvarySanger2026,Endo_Cycling,5,365,359,0.0137,0.0139
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_OvarySanger2026,Endo_Cap_LY6H+_angiogenic,3,365,1048,0.0082,0.0029
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_OvarySanger2026,Endo_Art,2,365,2153,0.0055,0.0009
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_OvarySanger2026,Endo_Ven,2,365,788,0.0055,0.0025
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,HEV,141,349,616,0.404,0.2289
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,aPCV,83,349,2402,0.2378,0.0346
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,PCV,60,349,3751,0.1719,0.016
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,Tip,49,349,290,0.1404,0.169
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,tPCV,10,349,3680,0.0287,0.0027
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,Capillary,5,349,1656,0.0143,0.003
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Ulrich2024,EndoMT,1,349,125,0.0029,0.008
L4,Endothelial of endometrial capillary APCDD1+,Endothelial of endometrial capillary APCDD1+,7258,celltype_Weigert2025,endothelial cell,2,2,4780,1.0,0.0004
L4,Epi_EndoCil_Cyc,Endometrial ciliated epithelial cycling,1975,celltype_GarciaAlonso2021,Ciliated,141,141,1814,1.0,0.0777
L4,Epi_EndoCil_Cyc,Endometrial ciliated epithelial cycling,1975,celltype_HECA,Ciliated,182,282,2408,0.6454,0.0756
L4,Epi_EndoCil_Cyc,Endometrial ciliated epithelial cycling,1975,celltype_HECA,preCiliated,100,282,293,0.3546,0.3413
L4,Epi_EndoCil_Cyc,Endometrial ciliated epithelial cycling,1975,celltype_Ulrich2024,Ciliated,794,981,3321,0.8094,0.2391
L4,Epi_EndoCil_Cyc,Endometrial ciliated epithelial cycling,1975,celltype_Ulrich2024,Gland-sec-progenitor-B,134,981,1161,0.1366,0.1154
